origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.01,0
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.025,0
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.05,0
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.1,0.21551732382903743
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.15000000000000002,0.7005280006720962
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.2,1.0964508752308162
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.25,1.2395654943658465
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.3,1.3821123034885514
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.35000000000000003,1.5313347306384535
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.4,1.656669905357823
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.45,1.793372382619112
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.5,1.889040749716956
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.55,1.952313494365846
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.6000000000000001,2.058845403879557
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.6500000000000001,2.145077942117646
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.7000000000000001,2.2740038943658463
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.7500000000000001,2.433426268705776
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.8,2.6330284943658464
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.8500000000000001,2.9612389854185563
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.9000000000000001,3.3867134943658463
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.95,3.951363494365846
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.975,4.404065049738577
2016-05-14,2016-05-28,2,HHS Region 2,ili perc,quantile,0.99,5.995424655723754
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.01,0
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.025,0
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.05,0
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.1,0.00763480602027128
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.15000000000000002,0.4783780006720961
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.2,0.8057768943658463
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.25,1.0174154943658462
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.3,1.1565896788003247
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.35000000000000003,1.273322952567915
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.4,1.3735490098582783
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.45,1.4973040651239762
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.5,1.627863494365846
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.55,1.7376322531544424
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.6000000000000001,1.826341162839095
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.6500000000000001,1.9217594171771868
